Name,Funding,Department
Yakima River Basin Water Enhancement (YRBWE) ,9000000,Department of the Interior
Yakima River Basin Water Enhancement Phase III (Yakima Basin Integrated Plan) ,5000000,Department of the Interior
Youth and Veteran Organizations Conservation Activities ,43000000,Department of the Interior
Youth Conservation ,1000000,Department of the Interior
Youth Conservation Opportunities on Public Lands ,23000000,Department of the Interior
"Youth Engagement, Education, and Employment ",27000000,Department of the Interior
Yukon River Salmon Research and Management Assistance ,306000,Department of the Interior
Zoonotic Disease Initiative,0,Department of the Interior
"Most of the programs listed here represent tax credits, not grant or loan programs, and some (the negative numbers) brought in money in 2024. The budget offce has not provided guidance on how the pause would affect these credits, which include green energy programs implemented during the Biden administration that President Trump has said he wants to cut. Also included: a line item for interest on the federal debt, which the U.S. pays to its creditors. Accelerated depreciation of machinery and equipment (normal tax method) -",3700000000,Department of the Treasury
Accelerated depreciation on rental housing (normal tax method) ,2100000000,Department of the Treasury
Additional deduction for the blind ,50000000,Department of the Treasury
Additional deduction for the elderly ,8100000000,Department of the Treasury
Adoption credit and exclusion ,900000000,Department of the Treasury
Advanced energy property credit ,1200000000,Department of the Treasury
Advanced manufacturing investment credit ,3600000000,Department of the Treasury
Advanced manufacturing production credit ,790000000,Department of the Treasury
Advanced nuclear power production credit ,150000000,Department of the Treasury
Alcohol fuel credits ,20000000,Department of the Treasury
Allow 20-percent deduction to certain pass-through income ,61900000000,Department of the Treasury
Allowance of deduction for certain energy effcient commercial building property ,520000000,Department of the Treasury
Amortize all geological and geophysical expenditures over 2 years ,150000000,Department of the Treasury
Assistance for adopted foster children ,940000000,Department of the Treasury
Bank Enterprise Award Program ,40000000,Department of the Treasury
Bio-Diesel and small agri-biodiesel producer tax credits ,20000000,Department of the Treasury
Build America Bonds,0,Department of the Treasury
"Capital gains (except agriculture, timber, iron ore, and coal) ",114100000000,Department of the Treasury
Capital gains exclusion of small corporation stock ,1900000000,Department of the Treasury
Capital gains exclusion on home sales ,58200000000,Department of the Treasury
Capital gains treatment of certain agriculture income ,1500000000,Department of the Treasury
Capital gains treatment of certain timber income ,150000000,Department of the Treasury
Capital gains treatment of royalties on coal ,50000000,Department of the Treasury
Capital Magnet Fund ,321000000,Department of the Treasury
Carbon oxide sequestration credit ,400000000,Department of the Treasury
Carryover basis of capital gains on gifts ,4099999999,Department of the Treasury
Child credit ,63700000000,Department of the Treasury
Clean fuel production credit,0,Department of the Treasury
Clean hydrogen production credit ,540000000,Department of the Treasury
Community Development Financial Institutions Bond Guarantee Program ,498000000,Department of the Treasury
Community Development Financial Institutions Fund Equitable Recovery Program (CDFI ERP),0,Department of the Treasury
Community Development Financial Institutions Program ,357000000,Department of the Treasury
Community Development Financial Institutions Rapid Response Program (CDFI RRP),0,Department of the Treasury
Coronavirus Capital Projects Fund ,9000000,Department of the Treasury
Coronavirus Economic Relief for Transportation Services Act,0,Department of the Treasury
Coronavirus Relief Fund,0,Department of the Treasury
Coronavirus Relief: Pandemic Relief for Aviation Workers,0,Department of the Treasury
Coronavirus State and Local Fiscal Recovery Funds ,5000000,Department of the Treasury
Credit for certain employer contributions to Social Security ,1600000000,Department of the Treasury
Credit for child and dependent care expenses ,3700000000,Department of the Treasury
Credit for construction of new energy effcient homes ,200000000,Department of the Treasury
Credit for disabled access expenditures ,10000000,Department of the Treasury
Credit for employee health insurance expenses of small business ,10000000,Department of the Treasury
Credit for energy effciency improvements to existing homes ,1600000000,Department of the Treasury
Credit for family and sick leave taken by self-employed individuals,0,Department of the Treasury
Credit for holders of zone academy bonds ,80000000,Department of the Treasury
Credit for holding clean renewable energy bonds ,70000000,Department of the Treasury
Credit for increasing research activities ,30000000000,Department of the Treasury
Credit for low-income housing investments ,13600000000,Department of the Treasury
Credit for residential energy effcient property ,9300000000,Department of the Treasury
Credit to holders of Gulf and Midwest Tax Credit Bonds . ,80000000,Department of the Treasury
Deductibility of casualty losses,0,Department of the Treasury
Deductibility of charitable contributions to educational institutions ,6300000000,Department of the Treasury
Deductibility of charitable contributions to health institutions ,9100000000,Department of the Treasury
"Deductibility of charitable contributions, other than education and health ",47900000000,Department of the Treasury
Deductibility of medical expenses ,12900000000,Department of the Treasury
Deductibility of mortgage interest on owner-occupied homes ,30800000000,Department of the Treasury
Deductibility of nonbusiness State and local taxes other than on owner-occupied homes ,6600000000,Department of the Treasury
Deductibility of State and local property tax on owner-occupied homes ,6400000000,Department of the Treasury
Deductibility of student-loan interest ,940000000,Department of the Treasury
Deduction for endangered species recovery expenditures ,40000000,Department of the Treasury
Deduction for foreign-derived intangible income derived from trade or business within the United States ,15700000000,Department of the Treasury
Deferral of capital gains from like-kind exchanges ,4200000000,Department of the Treasury
Deferral of gain on sale of farm refners ,20000000,Department of the Treasury
Deferral of income from installment sales ,1700000000,Department of the Treasury
Deferral of interest on U.S. savings bonds ,810000000,Department of the Treasury
Deferral of tax on shipping companies ,10000000,Department of the Treasury
Defned beneft employer plans ,68900000000,Department of the Treasury
Defned contribution employer plans ,136300000000,Department of the Treasury
Depreciation of buildings other than rental housing (normal tax method) -,190000000,Department of the Treasury
Disaster employee retention credit ,40000000,Department of the Treasury
Discharge of business indebtedness ,10000000,Department of the Treasury
Discharge of mortgage indebtedness ,140000000,Department of the Treasury
Discharge of student loan indebtedness ,110000000,Department of the Treasury
Distributions from retirement plans for premiums for health and long-term care insurance ,490000000,Department of the Treasury
Earned-income tax credit ,3000000000,Department of the Treasury
Emergency Capital Investment Program,0,Department of the Treasury
Emergency Rental Assistance Program,0,Department of the Treasury
Employer provided child care exclusion ,840000000,Department of the Treasury
Employer-provided child care credit ,20000000,Department of the Treasury
Employer-provided paid family and medical leave credit ,90000000,Department of the Treasury
Empowerment zones ,90000000,Department of the Treasury
Energy investment credit ,27500000000,Department of the Treasury
Energy production credit ,7600000000,Department of the Treasury
Enhanced oil recovery credit,0,Department of the Treasury
Equitable Sharing ,178000000,Department of the Treasury
Exception from passive loss limitation for working interests in oil and gas properties ,10000000,Department of the Treasury
"Exception from passive loss rules for $25,000 of rental loss ",5500000000,Department of the Treasury
Exceptions from imputed interest rules ,70000000,Department of the Treasury
"Excess of percentage over cost depletion, coal ",90000000,Department of the Treasury
"Excess of percentage over cost depletion, nonfuel minerals ",330000000,Department of the Treasury
"Excess of percentage over cost depletion, oil and gas ",1600000000,Department of the Treasury
Exchange of Federal Tax Information With State Tax Agencies,0,Department of the Treasury
Exclusion for employer-provided transit passes ,381000000,Department of the Treasury
Exclusion of benefts and allowances to armed forces personnel ,16600000000,Department of the Treasury
Exclusion of certain allowances for federal employees abroad ,300000000,Department of the Treasury
Exclusion of certain foster care payments ,530000000,Department of the Treasury
Exclusion of employee meals and lodging (other than military) ,7000000000,Department of the Treasury
Exclusion of employer contributions for medical insurance premiums and medical care ,231000000000,Department of the Treasury
Exclusion of employer-provided educational assistance ,1800000000,Department of the Treasury
Exclusion of GI bill benefts ,1500000000,Department of the Treasury
Exclusion of income earned abroad by U.S. citizens,5600000000,Department of the Treasury
Exclusion of interest on bonds for Highway Projects and rail-truck transfer facilities ,140000000,Department of the Treasury
Exclusion of interest on bonds for private nonproft educational facilities ,1900000000,Department of the Treasury
"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities ",230000000,Department of the Treasury
Exclusion of interest on energy facility bonds,0,Department of the Treasury
Exclusion of interest on hospital construction bonds ,2500000000,Department of the Treasury
Exclusion of interest on owner-occupied mortgage subsidy bonds ,710000000,Department of the Treasury
Exclusion of interest on public purpose State and local bonds ,24100000000,Department of the Treasury
Exclusion of interest on rental housing bonds ,1300000000,Department of the Treasury
Exclusion of interest on savings bonds redeemed to fnance educational expenses ,40000000,Department of the Treasury
Exclusion of interest on small issue bonds ,60000000,Department of the Treasury
Exclusion of interest on student-loan bonds ,130000000,Department of the Treasury
Exclusion of interest on veterans housing bonds ,60000000,Department of the Treasury
Exclusion of interest spread of fnancial institutions ,9000000000,Department of the Treasury
Exclusion of life insurance death benefts ,16300000000,Department of the Treasury
Exclusion of military disability pensions ,210000000,Department of the Treasury
Exclusion of net imputed rental income ,151900000000,Department of the Treasury
Exclusion of parsonage allowances ,1000000000,Department of the Treasury
Exclusion of public assistance benefts (normal tax method) ,720000000,Department of the Treasury
Exclusion of railroad retirement (Social Security equivalent) benefts ,280000000,Department of the Treasury
Exclusion of scholarship and fellowship income (normal tax method) ,4700000000,Department of the Treasury
Exclusion of special benefts for disabled coal miners ,20000000,Department of the Treasury
Exclusion of utility conservation subsidies ,50000000,Department of the Treasury
Exclusion of veterans death benefts and disability compensation ,13100000000,Department of the Treasury
Exclusion of veterans pensions ,210000000,Department of the Treasury
Exclusion of workers compensation benefts ,8900000000,Department of the Treasury
Exemption of certain mutuals and cooperatives income ,100000000,Department of the Treasury
Exemption of credit union income ,2900000000,Department of the Treasury
Exemption or special alternative tax for small property and casualty insurance companies ,1400000000,Department of the Treasury
Expensing of certain capital outlays ,120000000,Department of the Treasury
Expensing of certain multiperiod production costs ,260000000,Department of the Treasury
Expensing of certain small investments,0,Department of the Treasury
"Expensing of exploration and development costs, coal",0,Department of the Treasury
"Expensing of exploration and development costs, nonfuel minerals",0,Department of the Treasury
"Expensing of exploration and development costs, oil and gas ",70000000,Department of the Treasury
Expensing of multiperiod timber growing costs ,260000000,Department of the Treasury
Expensing of reforestation expenditures ,70000000,Department of the Treasury
Expensing of research and experimentation expenditures (normal tax method) -,28900000000,Department of the Treasury
Homeowner Assistance Fund ,494000,Department of the Treasury
Income averaging for farmers ,210000000,Department of the Treasury
Income of trusts to fnance supplementary unemployment benefts ,50000000,Department of the Treasury
Income of trusts to fnance voluntary employee benefts associations ,1600000000,Department of the Treasury
Indian employment credit ,30000000,Department of the Treasury
Individual Retirement Accounts ,33200000000,Department of the Treasury
Interest Charge Domestic International Sales Corporations (IC-DISCs) ,1700000000,Department of the Treasury
Interest on the Public Debt,0,Department of the Treasury
Local Assistance and Tribal Consistency Fund,0,Department of the Treasury
Low and moderate income savers credit ,2000000000,Department of the Treasury
Low Income Taxpayer Clinics ,20000000,Department of the Treasury
Marginal wells credit ,180000000,Department of the Treasury
Medical Savings Accounts / Health Savings Accounts ,13600000000,Department of the Treasury
Native Initiatives ,47000000,Department of the Treasury
New markets tax credit ,1300000000,Department of the Treasury
Opportunity Zones ,2200000000,Department of the Treasury
Ordinary income treatment of loss from small business corporation stock sale ,80000000,Department of the Treasury
Other Dependent Tax Credit,0,Department of the Treasury
Parental personal exemption for students age 19 or over ,3300000000,Department of the Treasury
Premiums for mortgage insurance deductible as interest,0,Department of the Treasury
Premiums on accident and disability insurance ,1700000000,Department of the Treasury
Premiums on group term life insurance ,3500000000,Department of the Treasury
Qualifed energy conservation bonds ,30000000,Department of the Treasury
Qualifed school construction bonds ,470000000,Department of the Treasury
Qualifed tuition programs (includes Education IRA) ,3400000000,Department of the Treasury
Recovery rebate credits ,990000000,Department of the Treasury
Recovery Zone Bonds ,70000000,Department of the Treasury
Reduced tax rate for nuclear decommissioning funds ,120000000,Department of the Treasury
Reduced tax rate on active income of controlled foreign corporations (normal tax method) ,46500000000,Department of the Treasury
Refundable Premium Assistance Tax Credit ,14900000000,Department of the Treasury
"Resources and Ecosystems Sustainability, Tourist Opportunities, and Revived Economies of the Gulf Coast States ",32000000,Department of the Treasury
Self-employed medical insurance premiums ,8500000000,Department of the Treasury
Self-Employed plans ,44000000000,Department of the Treasury
Small Dollar Loan Program ,18000000,Department of the Treasury
Small employer pension plan startup credit,0,Department of the Treasury
Social Impact Partnerships to Pay for Results Act (SIPPRA),0,Department of the Treasury
"Social Security benefts for retired and disabled workers and spouses, dependents and survivors ",30800000000,Department of the Treasury
The White House budget offce said Social Security benefts would not be affected. Special Blue Cross/Blue Shield tax benefts,380000000,Department of the Treasury
Special deduction for teacher expenses ,160000000,Department of the Treasury
Special Employee Stock Ownership Plan (ESOP) rules,220000000,Department of the Treasury
Special rules for certain flm and TV production ,180000000,Department of the Treasury
State Small Business Credit Initiative Competitive Technical Assistance Program ,75000000,Department of the Treasury
State Small Business Credit Initiative Technical Assistance Grant Program ,81000000,Department of the Treasury
Step-up basis of capital gains at death ,33600000000,Department of the Treasury
Tax Counseling for the Elderly ,12000000,Department of the Treasury
Tax credit for orphan drug research ,1900000000,Department of the Treasury
Tax credits for clean vehicles ,15600000000,Department of the Treasury
Tax credits for clean-fuel burning vehicles and refueling property,0,Department of the Treasury
Tax credits for post-secondary education expenses ,13900000000,Department of the Treasury
Tax credits for refueling property ,280000000,Department of the Treasury
Tax exemption of insurance income earned by tax-exempt organizations ,380000000,Department of the Treasury
Tax incentives for preservation of historic structures ,670000000,Department of the Treasury
Tonnage tax ,100000000,Department of the Treasury
Treatment of loans forgiven for solvent farmers ,60000000,Department of the Treasury
Treatment of qualifed dividends ,38400000000,Department of the Treasury
Tribal Economic Development Bonds ,10000000,Department of the Treasury
Volunteer Income Tax Assistance (VITA) Matching Grant Program ,41000000,Department of the Treasury
Work opportunity tax credit ,2100000000,Department of the Treasury
Zero-emission nuclear power production credit,0,Department of the Treasury
Advanced Bridge Technology Clearinghouse (ABTC) Development,0,Department of Transportation
Air Emissions and Energy Initiative ,6000000,Department of Transportation
Air Transportation Centers of Excellence ,62000000,Department of Transportation
Aircraft Pilots Workforce Development Grant Program ,5000000,Department of Transportation
"Airport Improvement Program, Infrastructure Investment and Jobs Act Programs, and Covid-19 Airports Programs ",6900000000,Department of Transportation
Alcohol Open Container Requirements ,62000000,Department of Transportation
All Stations Accessibility Program ,82000000,Department of Transportation
Asset Concessions and Innovative Finance Assistance ,19000000,Department of Transportation
Assistance to Small and Disadvantaged Businesses ,2000000,Department of Transportation
Assistance to Small Shipyards ,11000000,Department of Transportation
Autonomous Vehicle Research in Rural Communities Program,0,Department of Transportation
Aviation Maintenance Technical Workforce Grant Program ,9000000,Department of Transportation
Aviation Research Grants ,10000000,Department of Transportation
Ballast Water Treatment Technologies ,3000000,Department of Transportation
Behavioral Traffc Safety Cooperative Research ,4000000,Department of Transportation
Border Enforcement Grants,0,Department of Transportation
Bridge and Other Transportation Infrastructure Research Program ,8000000,Department of Transportation
Bus Testing,0,Department of Transportation
"Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs ",997000000,Department of Transportation
Cable Security Fleet Program ,10000000,Department of Transportation
"Capital Assistance to States, Intercity Passenger Rail Service",0,Department of Transportation
Capital Construction Fund,0,Department of Transportation
Clean Fuels,0,Department of Transportation
Commercial Drivers License Program Implementation Grant ,52000000,Department of Transportation
Commercial Motor Vehicle Enforcement Training and Support ,5000000,Department of Transportation
Commercial Motor Vehicle Operator Safety Training Grants ,4000000,Department of Transportation
Community Project Funding Congressionally Directed Spending ,139000000,Department of Transportation
Consolidated Rail Infrastructure and Safety Improvements ,460000000,Department of Transportation
Construction Reserve Fund,0,Department of Transportation
Driver Alcohol Detection System for Safety ,11000000,Department of Transportation
Enhanced Mobility of Seniors and Individuals with Disabilities ,465000000,Department of Transportation
Federal Lands Access Program ,203000000,Department of Transportation
Federal Ship Financing Guarantees,0,Department of Transportation
Federal Transit Capital Investment Grants ,3800000000,Department of Transportation
Federal Transit Formula Grants ,8400000000,Department of Transportation
Federal-State Partnership for Intercity Passenger Rail ,6100000000,Department of Transportation
Fiscal Year 2013 Hurricane Sandy Disaster Relief Grants to the National Railroad Passenger Corporation ,31000000,Department of Transportation
Formula Grants for Rural Areas and Tribal Transit Program ,1200000000,Department of Transportation
Fuel Tax Evasion-Intergovernmental Enforcement Effort ,1000000,Department of Transportation
Fueling Aviation s Sustainable Transition via Sustainable Aviation Fuels (FAST-SAF) and Low-Emissions Aviation Technologies (FAST-Tech) Grant ,291000000,Department of Transportation
Hazardous Materials State Inspection (HMSI) Grant,179000,Department of Transportation
"High-Speed Rail Corridors and Intercity Passenger Rail Service, Capital Assistance Grants",0,Department of Transportation
Highway Planning and Construction ,62200000000,Department of Transportation
Highway Research and Development Program ,101000000,Department of Transportation
Highway Training and Education ,10000000,Department of Transportation
Incentive Grant Program to Prohibit Racial Profling ,9000000,Department of Transportation
Interagency Hazardous Materials Public Sector Training and Planning Grants ,31000000,Department of Transportation
Interstate Rail Compacts ,300000,Department of Transportation
Job Access and Reverse Commute Program,0,Department of Transportation
"Maglev Project Selection Program, SAFETEA-LU",0,Department of Transportation
Maritime Security Fleet Program or Ship Operations Cooperation Program ,306000000,Department of Transportation
Maritime Studies and Innovations ,58000,Department of Transportation
Maritime War Risk Insurance,0,Department of Transportation
Metropolitan Transportation Planning and State and Non-Metropolitan Planning and Research ,56000000,Department of Transportation
Minimum Penalties for Repeat Offenders for Driving While Intoxicated ,81000000,Department of Transportation
Mobility Equity Research Initiative,0,Department of Transportation
Motor Carrier Safety Assistance ,504000000,Department of Transportation
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements ,89000000,Department of Transportation
Motor Vehicle Safety Research ,500000,Department of Transportation
National Driver Register ,391000,Department of Transportation
National Highway Traffc Safety Administration (NHTSA) Discretionary Safety Grants and Cooperative Agreements ,46000000,Department of Transportation
National Infrastructure Investments ,1800000000,Department of Transportation
National Infrastructure Project Assistance (Mega Projects) ,1900000000,Department of Transportation
National Priority Safety Programs ,368000000,Department of Transportation
National Railroad Passenger Corporation Grants ,6700000000,Department of Transportation
Nationally Signifcant Freight and Highway Projects ,1400000000,Department of Transportation
Natural Gas Distribution Infrastructure Safety and Modernization Grant Program ,196000000,Department of Transportation
New Freedom Program,0,Department of Transportation
"Passenger Ferry Grant Program, Electric or Low-Emitting Ferry Pilot Program, and Ferry Service for Rural Communities Program ",249000000,Department of Transportation
Passenger Rail Investment and Improvement (PRIIA) Projects for Washington Metropolitan Area Transit Authority (WMATA) ,149000000,Department of Transportation
Paul S. Sarbanes Transit in the Parks,0,Department of Transportation
Payments for Essential Air Services ,496000000,Department of Transportation
Payments for Small Community Air Service Development ,10000000,Department of Transportation
Performance and Registration Information Systems Management,0,Department of Transportation
PHMSA Pipeline Safety Program One Call Grant ,1000000,Department of Transportation
PHMSA Pipeline Safety Research and Development Other Transaction Agreements ,7000000,Department of Transportation
PHMSA Pipeline Safety Underground Natural Gas Storage Grant ,4000000,Department of Transportation
Pipeline Emergency Response Grant (PERG) ,4000000,Department of Transportation
Pipeline Safety Program State Base Grant ,82000000,Department of Transportation
Pipeline Safety Research Competitive Academic Agreement Program (CAAP) ,2000000,Department of Transportation
Port Infrastructure Development Program ,90000000,Department of Transportation
Public Transportation Emergency Relief Program ,153000000,Department of Transportation
Public Transportation Innovation ,35000000,Department of Transportation
Rail Fixed Guideway Public Transportation System State Safety Oversight Formula Grant Program ,431000000,Department of Transportation
Rail Line Relocation and Improvement ,400000,Department of Transportation
Railroad Crossing Elimination ,103000000,Department of Transportation
Railroad Development ,294000000,Department of Transportation
Railroad Rehabilitation and Improvement Financing Program ,4099999999,Department of Transportation
Railroad Research and Development ,10000000,Department of Transportation
Railroad Safety ,1000000,Department of Transportation
Railroad Safety Technology Grants,0,Department of Transportation
Reconnecting Communities Pilot (RCP) Discretionary Grant Program ,600000000,Department of Transportation
Recreational Trails Program ,87000000,Department of Transportation
Research Initiative on the Use of Steel Slag in Concrete and Cement,0,Department of Transportation
Research Partnership on Climate Change and Transportation ,3000000,Department of Transportation
Restoration and Enhancement ,13000000,Department of Transportation
Rural and Tribal Assistance Pilot Program ,25000000,Department of Transportation
Rural Surface Transportation Grant Program ,338000000,Department of Transportation
Safe Streets and Roads for All ,1300000000,Department of Transportation
Safety Data Improvement Program,0,Department of Transportation
State and Community Highway Safety ,395000000,Department of Transportation
State Damage Prevention Program Grants ,2000000,Department of Transportation
State Electronic Data Collection (SEDC) Program Grant ,70000,Department of Transportation
State Maritime Schools ,108000000,Department of Transportation
State of Good Repair Grants Program ,4600000000,Department of Transportation
State Process for Informing Consumers of Recalls ,2000000,Department of Transportation
Strengthening Mobility and Revolutionizing Transportation (SMART) Grants Program ,55000000,Department of Transportation
Tanker Security Program ,10000000,Department of Transportation
Technical Assistance and Workforce Development ,12000000,Department of Transportation
Technical Assistance Grants ,2000000,Department of Transportation
Thriving Communities Program Capacity Builders Cooperative Agreements,0,Department of Transportation
Transportation Demonstration Program,0,Department of Transportation
Transportation Infrastructure Finance and Innovation Act (TIFIA) Program ,787000000,Department of Transportation
"Transportation Planning, Research and Education",0,Department of Transportation
Transportation Research and Technology Advancement,0,Department of Transportation
U.S. Merchant Marine Academy ,185000000,Department of Transportation
United States Marine Highway Grants ,33000000,Department of Transportation
University Transportation Centers Program ,88000000,Department of Transportation
Women on the Water (WOW) ,15000,Department of Transportation
All-Volunteer Force Educational Assistance ,145000000,Department of Veterans Affairs
Automobiles and Adaptive Equipment for Certain Disabled Veterans and Members of the Armed Forces ,143000000,Department of Veterans Affairs
Burial Expenses Allowance for Veterans ,352000000,Department of Veterans Affairs
CHAMPVA ,1800000000,Department of Veterans Affairs
Grants to States for Construction of State Home Facilities ,11000000,Department of Veterans Affairs
Legal Services for Veterans Grants ,27000000,Department of Veterans Affairs
"Life Insurance for Veterans, Direct Payments for Insurance ",656000000,Department of Veterans Affairs
Montgomery GI Bill Selected Reserve ,122000000,Department of Veterans Affairs
Monthly Allowance for Children of Vietnam Veterans Born with Spina Bifda ,25000000,Department of Veterans Affairs
National Cemeteries ,12000000,Department of Veterans Affairs
Native American Veteran Direct Loan Program ,9000000,Department of Veterans Affairs
Payments to States for Programs to Promote the Hiring and Retention of Nurses at State Veterans Homes ,6000000,Department of Veterans Affairs
Pension for Non-Service-Connected Disability for Veterans ,2000000000,Department of Veterans Affairs
"Pension to Veterans Surviving Spouses, and Children ",1100000000,Department of Veterans Affairs
Post-9/11 Veterans Educational Assistance ,8199999999,Department of Veterans Affairs
Post-Vietnam Era Veterans Educational Assistance ,4000000,Department of Veterans Affairs
Procurement of Headstones and Markers and/or Presidential Memorial Certifcates ,100000000,Department of Veterans Affairs
Research and Development ,943000000,Department of Veterans Affairs
Specially Adapted Housing Assistive Technology Grant Program ,400000,Department of Veterans Affairs
Specially Adapted Housing for Disabled Veterans ,147000000,Department of Veterans Affairs
Staff Sergeant Parker Gordon Fox Suicide Prevention Grant Program ,53000000,Department of Veterans Affairs
Suicide Mortality Review Cooperative Agreements ,4000000,Department of Veterans Affairs
Survivors and Dependents Educational Assistance ,1900000000,Department of Veterans Affairs
VA Casket or Urn Allowance Program ,407000,Department of Veterans Affairs
VA Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces ,16000000,Department of Veterans Affairs
VA Homeless Providers Grant and Per Diem Program ,258000000,Department of Veterans Affairs
VA Outer Burial Receptacle Allowance Program ,339000,Department of Veterans Affairs
VA Supportive Services for Veteran Families Program ,798000000,Department of Veterans Affairs
VA U.S. Paralympics Monthly Assistance Allowance Program ,2000000,Department of Veterans Affairs
Veteran and Spouse Transitional Assistance Grant Program (VSTAGP) ,5000000,Department of Veterans Affairs
Veteran Rapid Retraining Assistance Program ,14000000,Department of Veterans Affairs
Veteran Readiness and Employment ,1000000000,Department of Veterans Affairs
Veterans Cemetery Grants Program ,45000000,Department of Veterans Affairs
Veterans Compensation for Service-Connected Disability ,157600000000,Department of Veterans Affairs
Veterans Dependency and Indemnity Compensation for Service-Connected Death ,10500000000,Department of Veterans Affairs
Veterans Housing Direct Loans for Certain Disabled Veterans,0,Department of Veterans Affairs
Veterans Housing Guaranteed and Insured Loans ,42900000000,Department of Veterans Affairs
Veterans Legacy Grants Program ,2000000,Department of Veterans Affairs
Veterans State Adult Day Health Care ,3000000,Department of Veterans Affairs
Veterans State Domiciliary Care ,49000000,Department of Veterans Affairs
Veterans State Nursing Home Care ,1700000000,Department of Veterans Affairs
Veterans Transportation Program ,6000000,Department of Veterans Affairs
Vocational and Educational Counseling for Servicemembers and Veterans ,6000000,Department of Veterans Affairs
Vocational Training and Rehabilitation Benefts for Children of Vietnam Veterans and Certain other Veterans,0,Department of Veterans Affairs
Environmental Protection Agency Air Pollution Control Program Support,68000000,Department of Veterans Affairs
"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants ",896000,Department of Veterans Affairs
Beach Monitoring and Notifcation Program Implementation Grants ,7000000,Department of Veterans Affairs
Brownfelds Job Training Cooperative Agreements ,8000000,Department of Veterans Affairs
"Brownfelds Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements ",313000000,Department of Veterans Affairs
"Brownfelds Training, Research, and Technical Assistance Grants and Cooperative Agreements ",42000000,Department of Veterans Affairs
Centers of Excellence for Stormwater Control Infrastructure Technologies Grant Program ,952000,Department of Veterans Affairs
Clean Heavy-Duty Vehicles Program,0,Department of Veterans Affairs
Clean Ports Program,0,Department of Veterans Affairs
Clean School Bus Program ,939000000,Department of Veterans Affairs
Clean Water State Revolving Fund ,4400000000,Department of Veterans Affairs
Climate Pollution Reduction Grants ,5000000,Department of Veterans Affairs
Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers ,350000,Department of Veterans Affairs
Congressionally Mandated Projects ,675000000,Department of Veterans Affairs
Consolidated Pesticide Enforcement Cooperative Agreements ,11000000,Department of Veterans Affairs
Construction Grants for Wastewater Treatment Works ,8000000,Department of Veterans Affairs
Contaminated Alaska Native Claims Settlement Act Lands Assistance Agreements ,2000000,Department of Veterans Affairs
Diesel Emission Reduction Act (DERA) National Grants ,140000000,Department of Veterans Affairs
Diesel Emissions Reduction Act (DERA) State Grants ,28000000,Department of Veterans Affairs
Direct Implementation Tribal Cooperative Agreements ,1000000,Department of Veterans Affairs
Drinking Water State Revolving Fund ,7000000000,Department of Veterans Affairs
"Drinking Water System Infrastructure Resilience and Sustainability Program, SDWA 1459A(l)",0,Department of Veterans Affairs
Enhanced Aquifer Use and Recharge Program,0,Department of Veterans Affairs
Environmental and Climate Justice Community Change Grants Program ,5000000,Department of Veterans Affairs
Environmental Education Grants Program ,4000000,Department of Veterans Affairs
Environmental Finance Center Grants ,5000000,Department of Veterans Affairs
Environmental Information Exchange Network Grant Program and Related Assistance ,11000000,Department of Veterans Affairs
Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program ,43000000,Department of Veterans Affairs
Environmental Justice Government-to-Government (EJG2G) Program ,81000000,Department of Veterans Affairs
Environmental Justice Small Grant Program,0,Department of Veterans Affairs
Environmental Justice Thriving Communities Grantmaking Program (EJ TCGM) ,182000000,Department of Veterans Affairs
Environmental Policy and Innovation Grants ,101000,Department of Veterans Affairs
"Environmental Protection Consolidated Grants for the Insular Areas, Program Support ",166000000,Department of Veterans Affairs
Financial Assistance For Community Support Activities To Address Environmental Justice Issues ,100000,Department of Veterans Affairs
Geographic Programs: Chesapeake Bay Program ,106000000,Department of Veterans Affairs
"Geographic Programs: Chesapeake Bay Program Implementation, Regulatory/Accountability and Monitoring Grants ",53000000,Department of Veterans Affairs
Geographic Programs: Coastal Wetlands Planning Protection and Restoration Act,0,Department of Veterans Affairs
Geographic Programs: Columbia River Basin Restoration (CRBR) Program ,25000000,Department of Veterans Affairs
Geographic Programs: Great Lakes Restoration Initiative ,68000000,Department of Veterans Affairs
Geographic Programs: Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component,0,Department of Veterans Affairs
Geographic Programs: Gulf of Mexico Program ,14000000,Department of Veterans Affairs
Geographic Programs: Lake Champlain Basin Program ,32000000,Department of Veterans Affairs
Geographic Programs: Lake Pontchartrain Basic Restoration Program (PRP) ,25000000,Department of Veterans Affairs
Geographic Programs: Long Island Sound Program ,61000000,Department of Veterans Affairs
Geographic Programs: Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program,39000000,Department of Veterans Affairs
Geographic Programs: Puget Sound Protection and Restoration: Tribal Implementation Assistance Program,17000000,Department of Veterans Affairs
